order_item_id,order_id,sku,qty,unit_price,line_total
1,1,SKU00193,3,16.56,49.68
2,1,SKU00294,2,23.02,46.04
3,2,SKU00324,3,108.14,324.42
4,2,SKU00192,1,97.5,97.5
5,2,SKU00366,1,115.07,115.07
6,3,SKU00111,2,76.14,152.28
7,3,SKU00227,2,66.85,133.7
8,4,SKU00349,1,23.35,23.35
9,4,SKU00208,2,24.56,49.12
10,4,SKU00309,1,8.04,8.04
11,4,SKU00208,2,24.56,49.12
12,5,SKU00177,1,70.57,70.57
13,5,SKU00352,3,40.34,121.02
14,5,SKU00200,1,43.29,43.29
15,5,SKU00365,3,62.7,188.1
16,6,SKU00327,3,52.17,156.51
17,6,SKU00017,2,23.91,47.82
18,6,SKU00078,3,62.93,188.79
19,6,SKU00177,1,70.57,70.57
20,7,SKU00135,2,59.4,118.8
21,7,SKU00057,1,82.99,82.99
22,7,SKU00217,2,154.1,308.2
23,8,SKU00235,1,58.39,58.39
24,8,SKU00095,2,69.9,139.8
25,9,SKU00354,1,189.31,189.31
26,9,SKU00351,3,124.85,374.55
27,9,SKU00267,3,139.63,418.89
28,9,SKU00267,2,139.63,279.26
29,10,SKU00045,2,28.1,56.2
30,10,SKU00127,1,87.48,87.48
31,10,SKU00047,3,66.68,200.04
32,11,SKU00071,1,47.03,47.03
33,11,SKU00043,2,97.69,195.38
34,11,SKU00304,3,38.78,116.34
35,12,SKU00049,1,74.17,74.17
36,12,SKU00195,1,40.19,40.19
37,12,SKU00024,1,54.87,54.87
38,12,SKU00287,1,98.46,98.46
39,13,SKU00110,3,100.31,300.93
40,13,SKU00364,3,36.88,110.64
41,13,SKU00054,2,105.41,210.82
42,14,SKU00177,2,70.57,141.14
43,15,SKU00244,1,87.23,87.23
44,16,SKU00196,1,10.36,10.36
45,16,SKU00196,2,10.36,20.72
46,16,SKU00349,1,23.35,23.35
47,16,SKU00196,2,10.36,20.72
48,17,SKU00299,1,108.85,108.85
49,17,SKU00340,1,30.81,30.81
50,17,SKU00282,2,99.6,199.2
51,17,SKU00069,1,76.86,76.86
52,18,SKU00189,1,35.7,35.7
53,18,SKU00307,2,77.74,155.48
54,18,SKU00307,2,77.74,155.48
55,19,SKU00348,2,72.35,144.7
56,20,SKU00221,2,189.28,378.56
57,20,SKU00221,1,189.28,189.28
58,21,SKU00332,1,100.04,100.04
59,21,SKU00088,1,95.84,95.84
60,22,SKU00306,3,108.25,324.75
61,23,SKU00040,2,53.83,107.66
62,23,SKU00137,3,53.23,159.69
63,24,SKU00169,2,95.4,190.8
64,25,SKU00325,3,49.55,148.65
65,25,SKU00228,3,94.88,284.64
66,26,SKU00083,2,47.71,95.42
67,27,SKU00341,3,59.46,178.38
68,28,SKU00307,1,77.74,77.74
69,28,SKU00227,3,66.85,200.55
70,28,SKU00111,2,76.14,152.28
71,28,SKU00227,2,66.85,133.7
72,29,SKU00318,1,120.43,120.43
73,30,SKU00043,3,97.69,293.07
74,30,SKU00106,3,31.32,93.96
75,30,SKU00236,1,132.28,132.28
76,30,SKU00287,2,98.46,196.92
77,31,SKU00147,1,70.02,70.02
78,31,SKU00078,3,62.93,188.79
79,32,SKU00080,3,95.97,287.91
80,32,SKU00272,3,91.93,275.79
81,33,SKU00328,2,96.4,192.8
82,33,SKU00266,1,42.7,42.7
83,34,SKU00277,3,116.02,348.06
84,34,SKU00221,2,189.28,378.56
85,35,SKU00077,2,89.14,178.28
86,36,SKU00247,1,98.31,98.31
87,37,SKU00309,2,8.04,16.08
88,38,SKU00370,1,60.88,60.88
89,38,SKU00305,3,127.47,382.41
90,38,SKU00105,3,133.5,400.5
91,38,SKU00172,1,30.2,30.2
92,39,SKU00060,3,137.73,413.19
93,40,SKU00344,3,105.17,315.51
94,40,SKU00077,2,89.14,178.28
95,40,SKU00363,3,94.03,282.09
96,40,SKU00344,3,105.17,315.51
97,41,SKU00121,2,54.55,109.1
98,41,SKU00033,3,105.02,315.06
99,41,SKU00201,2,107.09,214.18
100,42,SKU00320,3,57.46,172.38
101,42,SKU00330,3,57.06,171.18
102,43,SKU00099,1,73.54,73.54
103,43,SKU00277,2,116.02,232.04
104,43,SKU00277,2,116.02,232.04
105,43,SKU00099,2,73.54,147.08
106,44,SKU00194,1,45.16,45.16
107,45,SKU00274,3,51.7,155.1
108,46,SKU00194,1,45.16,45.16
109,46,SKU00157,3,136.19,408.57
110,46,SKU00194,3,45.16,135.48
111,46,SKU00265,1,101.89,101.89
112,47,SKU00180,3,79.45,238.35
113,47,SKU00122,3,98.25,294.75
114,48,SKU00094,1,19.39,19.39
115,48,SKU00280,1,85.18,85.18
116,48,SKU00332,1,100.04,100.04
117,48,SKU00363,1,94.03,94.03
118,49,SKU00342,3,117.3,351.9
119,50,SKU00198,1,119.52,119.52
120,50,SKU00269,1,79.4,79.4
121,50,SKU00175,3,75.8,227.4
122,51,SKU00275,2,133.96,267.92
123,51,SKU00140,3,47.44,142.32
124,51,SKU00151,2,75.33,150.66
125,51,SKU00144,1,72.66,72.66
126,52,SKU00174,3,110.18,330.54
127,52,SKU00275,1,133.96,133.96
128,53,SKU00254,3,155.65,466.95
129,53,SKU00283,1,43.77,43.77
130,54,SKU00073,2,42.1,84.2
131,54,SKU00296,3,51.74,155.22
132,54,SKU00323,1,40.27,40.27
133,55,SKU00295,3,45.03,135.09
134,55,SKU00028,2,81.34,162.68
135,56,SKU00241,2,78.97,157.94
136,56,SKU00078,2,62.93,125.86
137,57,SKU00196,2,10.36,20.72
138,57,SKU00196,1,10.36,10.36
139,58,SKU00017,3,23.91,71.73
140,58,SKU00091,3,116.96,350.88
141,58,SKU00244,2,87.23,174.46
142,59,SKU00161,2,14.81,29.62
143,59,SKU00161,1,14.81,14.81
144,59,SKU00161,1,14.81,14.81
145,60,SKU00071,3,47.03,141.09
146,61,SKU00017,1,23.91,23.91
147,62,SKU00109,2,122.69,245.38
148,62,SKU00225,1,54.19,54.19
149,62,SKU00179,1,136.9,136.9
150,63,SKU00282,1,99.6,99.6
151,64,SKU00195,3,40.19,120.57
152,64,SKU00118,1,57.92,57.92
153,64,SKU00315,3,41.37,124.11
154,65,SKU00178,1,142.55,142.55
155,65,SKU00199,3,156.8,470.4
156,65,SKU00379,3,89.56,268.68
157,65,SKU00178,3,142.55,427.65
158,66,SKU00376,1,12.11,12.11
159,66,SKU00301,3,15.24,45.72
160,66,SKU00193,3,16.56,49.68
161,67,SKU00327,2,52.17,104.34
162,68,SKU00150,3,107.56,322.68
163,69,SKU00341,2,59.46,118.92
164,69,SKU00017,3,23.91,71.73
165,70,SKU00293,2,32.06,64.12
166,70,SKU00113,2,35.92,71.84
167,71,SKU00058,3,22.7,68.1
168,72,SKU00110,2,100.31,200.62
169,72,SKU00362,1,134.39,134.39
170,72,SKU00364,2,36.88,73.76
171,72,SKU00152,3,118.67,356.01
172,73,SKU00179,2,136.9,273.8
173,73,SKU00291,2,94.13,188.26
174,73,SKU00074,1,61.03,61.03
175,73,SKU00050,2,101.39,202.78
176,74,SKU00049,2,74.17,148.34
177,74,SKU00143,3,120.34,361.02
178,74,SKU00038,3,26.94,80.82
179,75,SKU00206,2,99.08,198.16
180,75,SKU00016,1,115.26,115.26
181,76,SKU00113,2,35.92,71.84
182,76,SKU00262,1,98.01,98.01
183,77,SKU00118,1,57.92,57.92
184,78,SKU00208,3,24.56,73.68
185,78,SKU00196,1,10.36,10.36
186,78,SKU00208,1,24.56,24.56
187,78,SKU00309,1,8.04,8.04
188,79,SKU00360,1,120.16,120.16
189,79,SKU00219,3,126.32,378.96
190,80,SKU00311,2,92.05,184.1
191,80,SKU00325,3,49.55,148.65
192,80,SKU00089,2,101.05,202.1
193,80,SKU00039,2,54.08,108.16
194,81,SKU00275,2,133.96,267.92
195,81,SKU00209,3,78.04,234.12
196,81,SKU00174,1,110.18,110.18
197,82,SKU00102,3,88.66,265.98
198,82,SKU00311,1,92.05,92.05
199,82,SKU00159,3,19.86,59.58
200,83,SKU00200,3,43.29,129.87
201,83,SKU00241,3,78.97,236.91
202,83,SKU00078,1,62.93,62.93
203,84,SKU00273,3,45.43,136.29
204,84,SKU00061,2,36.54,73.08
205,84,SKU00258,2,19.21,38.42
206,85,SKU00169,2,95.4,190.8
207,86,SKU00304,3,38.78,116.34
208,87,SKU00086,2,104.57,209.14
209,87,SKU00160,3,31.11,93.33
210,88,SKU00043,3,97.69,293.07
211,89,SKU00036,3,61.36,184.08
212,89,SKU00118,3,57.92,173.76
213,90,SKU00278,2,33.99,67.98
214,90,SKU00075,2,86.56,173.12
215,90,SKU00279,2,78.19,156.38
216,91,SKU00145,3,64.93,194.79
217,92,SKU00162,3,48.76,146.28
218,92,SKU00154,1,37.34,37.34
219,93,SKU00342,2,117.3,234.6
220,93,SKU00342,1,117.3,117.3
221,93,SKU00205,2,81.5,163.0
222,93,SKU00324,2,108.14,216.28
223,94,SKU00064,2,114.67,229.34
224,94,SKU00001,3,32.23,96.69
225,95,SKU00030,2,105.88,211.76
226,95,SKU00199,3,156.8,470.4
227,95,SKU00035,2,112.45,224.9
228,96,SKU00023,2,69.51,139.02
229,96,SKU00142,3,56.15,168.45
230,96,SKU00181,1,93.11,93.11
231,96,SKU00181,2,93.11,186.22
232,97,SKU00325,1,49.55,49.55
233,97,SKU00320,2,57.46,114.92
234,98,SKU00262,3,98.01,294.03
235,98,SKU00262,2,98.01,196.02
236,99,SKU00143,2,120.34,240.68
237,99,SKU00071,3,47.03,141.09
238,99,SKU00236,3,132.28,396.84
239,100,SKU00353,3,33.82,101.46
240,100,SKU00069,1,76.86,76.86
241,100,SKU00282,3,99.6,298.8
242,101,SKU00175,3,75.8,227.4
243,101,SKU00269,3,79.4,238.2
244,101,SKU00216,1,75.34,75.34
245,102,SKU00062,2,37.66,75.32
246,102,SKU00278,3,33.99,101.97
247,102,SKU00233,2,30.49,60.98
248,103,SKU00330,1,57.06,57.06
249,104,SKU00222,3,98.97,296.91
250,104,SKU00055,1,54.72,54.72
251,104,SKU00282,3,99.6,298.8
252,104,SKU00041,2,114.91,229.82
253,105,SKU00163,3,36.74,110.22
254,105,SKU00260,1,46.11,46.11
255,106,SKU00098,2,51.91,103.82
256,106,SKU00019,1,58.7,58.7
257,106,SKU00064,3,114.67,344.01
258,106,SKU00068,1,62.22,62.22
259,107,SKU00042,3,77.44,232.32
260,107,SKU00062,3,37.66,112.98
261,107,SKU00233,3,30.49,91.47
262,107,SKU00149,2,73.19,146.38
263,108,SKU00313,2,24.96,49.92
264,108,SKU00131,2,66.56,133.12
265,109,SKU00090,1,120.18,120.18
266,109,SKU00030,1,105.88,105.88
267,110,SKU00057,1,82.99,82.99
268,110,SKU00007,1,76.19,76.19
269,111,SKU00371,2,119.22,238.44
270,111,SKU00378,3,39.45,118.35
271,112,SKU00052,2,113.85,227.7
272,112,SKU00179,1,136.9,136.9
273,113,SKU00336,3,27.57,82.71
274,114,SKU00021,2,25.23,50.46
275,114,SKU00290,1,37.07,37.07
276,115,SKU00273,3,45.43,136.29
277,116,SKU00371,1,119.22,119.22
278,117,SKU00173,2,73.5,147.0
279,117,SKU00009,1,101.82,101.82
280,117,SKU00068,1,62.22,62.22
281,118,SKU00364,2,36.88,73.76
282,118,SKU00110,3,100.31,300.93
283,118,SKU00362,2,134.39,268.78
284,119,SKU00060,2,137.73,275.46
285,119,SKU00050,3,101.39,304.17
286,120,SKU00216,2,75.34,150.68
287,120,SKU00249,3,143.03,429.09
288,120,SKU00335,3,151.21,453.63
289,121,SKU00171,1,29.31,29.31
290,121,SKU00329,1,91.72,91.72
291,122,SKU00126,2,55.93,111.86
292,123,SKU00300,1,113.52,113.52
293,123,SKU00276,2,93.18,186.36
294,123,SKU00205,2,81.5,163.0
295,124,SKU00172,3,30.2,90.6
296,125,SKU00048,2,89.15,178.3
297,125,SKU00236,3,132.28,396.84
298,126,SKU00297,3,97.64,292.92
299,126,SKU00079,2,82.2,164.4
300,126,SKU00170,3,71.83,215.49
301,127,SKU00222,2,98.97,197.94
302,128,SKU00006,2,158.08,316.16
303,128,SKU00117,1,114.19,114.19
304,128,SKU00085,2,37.75,75.5
305,129,SKU00049,2,74.17,148.34
306,130,SKU00001,3,32.23,96.69
307,131,SKU00227,2,66.85,133.7
308,131,SKU00189,1,35.7,35.7
309,131,SKU00111,3,76.14,228.42
310,132,SKU00129,1,98.97,98.97
311,132,SKU00136,1,137.83,137.83
312,133,SKU00171,2,29.31,58.62
313,133,SKU00220,3,91.17,273.51
314,134,SKU00110,3,100.31,300.93
315,135,SKU00342,3,117.3,351.9
316,135,SKU00205,2,81.5,163.0
317,135,SKU00300,3,113.52,340.56
318,136,SKU00325,2,49.55,99.1
319,136,SKU00228,1,94.88,94.88
320,136,SKU00320,1,57.46,57.46
321,136,SKU00224,2,112.7,225.4
322,137,SKU00038,1,26.94,26.94
323,137,SKU00315,3,41.37,124.11
324,137,SKU00315,3,41.37,124.11
325,137,SKU00143,3,120.34,361.02
326,138,SKU00296,3,51.74,155.22
327,138,SKU00296,3,51.74,155.22
328,138,SKU00105,2,133.5,267.0
329,138,SKU00323,3,40.27,120.81
330,139,SKU00172,2,30.2,60.4
331,140,SKU00202,3,57.15,171.45
332,140,SKU00338,2,12.97,25.94
333,140,SKU00338,2,12.97,25.94
334,140,SKU00202,3,57.15,171.45
335,141,SKU00328,2,96.4,192.8
336,141,SKU00175,3,75.8,227.4
337,142,SKU00164,1,163.39,163.39
338,142,SKU00318,3,120.43,361.29
339,142,SKU00012,3,159.7,479.1
340,142,SKU00051,1,103.38,103.38
341,143,SKU00042,3,77.44,232.32
342,143,SKU00124,2,37.55,75.1
343,144,SKU00040,3,53.83,161.49
344,144,SKU00137,3,53.23,159.69
345,144,SKU00336,2,27.57,55.14
346,144,SKU00336,3,27.57,82.71
347,145,SKU00122,1,98.25,98.25
348,145,SKU00220,2,91.17,182.34
349,146,SKU00153,3,53.29,159.87
350,146,SKU00251,3,65.41,196.23
351,146,SKU00182,2,64.76,129.52
352,147,SKU00196,2,10.36,20.72
353,147,SKU00349,3,23.35,70.05
354,147,SKU00309,2,8.04,16.08
355,148,SKU00078,1,62.93,62.93
356,149,SKU00081,2,138.82,277.64
357,149,SKU00346,3,24.57,73.71
358,149,SKU00255,3,43.72,131.16
359,150,SKU00101,2,55.34,110.68
360,150,SKU00263,1,32.73,32.73
361,151,SKU00103,2,124.94,249.88
362,151,SKU00033,1,105.02,105.02
363,151,SKU00185,2,84.48,168.96
364,152,SKU00217,1,154.1,154.1
365,153,SKU00373,3,55.84,167.52
366,153,SKU00039,1,54.08,54.08
367,153,SKU00186,3,57.47,172.41
368,154,SKU00241,2,78.97,157.94
369,154,SKU00352,2,40.34,80.68
370,154,SKU00145,1,64.93,64.93
371,155,SKU00026,1,41.43,41.43
372,156,SKU00310,3,12.85,38.55
373,156,SKU00263,3,32.73,98.19
374,157,SKU00176,1,123.09,123.09
375,157,SKU00370,3,60.88,182.64
376,158,SKU00182,1,64.76,64.76
377,158,SKU00251,3,65.41,196.23
378,159,SKU00177,1,70.57,70.57
379,160,SKU00380,2,30.37,60.74
380,160,SKU00319,2,27.89,55.78
381,161,SKU00172,2,30.2,60.4
382,161,SKU00323,2,40.27,80.54
383,161,SKU00105,1,133.5,133.5
384,162,SKU00272,2,91.93,183.86
385,162,SKU00084,2,78.16,156.32
386,162,SKU00089,3,101.05,303.15
387,162,SKU00311,3,92.05,276.15
388,163,SKU00374,2,29.27,58.54
389,164,SKU00220,3,91.17,273.51
390,164,SKU00079,3,82.2,246.6
391,164,SKU00341,1,59.46,59.46
392,165,SKU00105,3,133.5,400.5
393,165,SKU00087,3,62.55,187.65
