order_id,user_id,order_ts,subtotal,discount,tax,shipping,total,status,coupon_code,utm_source,utm_campaign
1,U000868,2025-10-16T20:57:06,95.72,5.77,7.9,1.65,99.5,fulfilled,VIP,google,google_campaign_5
2,U002471,2025-10-16T02:17:33,536.99,2.7,44.3,9.56,588.15,fulfilled,SAVE10,affiliate,affiliate_campaign_3
3,U003464,2025-10-16T04:50:00,285.98,14.65,23.59,9.42,304.34,fulfilled,SAVE10,google,google_campaign_3
4,U002029,2025-10-16T12:55:42,129.63,15.79,10.69,4.83,129.36,fulfilled,VIP,affiliate,affiliate_campaign_5
5,U004087,2025-10-16T16:08:53,422.98,28.12,34.9,11.42,441.18,fulfilled,VIP,email,email_campaign_6
6,U001135,2025-10-16T23:48:40,463.69,72.28,38.25,8.49,438.15,fulfilled,WELCOME,email,email_campaign_4
7,U002600,2025-10-16T09:25:20,509.99,13.08,42.07,10.72,549.7,fulfilled,,google,google_campaign_1
8,U000237,2025-10-16T23:41:52,198.19,19.28,16.35,2.02,197.28,fulfilled,VIP,facebook,facebook_campaign_1
9,U002879,2025-10-16T21:36:55,1262.01,200.8,104.12,11.34,1176.67,fulfilled,VIP,affiliate,affiliate_campaign_3
10,U001422,2025-10-16T20:44:28,343.72,60.87,28.36,1.5,312.71,fulfilled,SAVE10,email,email_campaign_4
11,U000610,2025-10-16T07:40:01,358.75,51.28,29.6,11.32,348.39,fulfilled,FREESHIP,facebook,facebook_campaign_3
12,U003720,2025-10-16T12:18:11,267.69,2.91,22.08,3.74,290.6,fulfilled,WELCOME,affiliate,affiliate_campaign_2
13,U004155,2025-10-16T02:59:05,622.39,69.02,51.35,5.02,609.74,placed,VIP,email,email_campaign_3
14,U000346,2025-10-16T08:19:07,141.14,0.25,11.64,4.29,156.82,fulfilled,SAVE10,google,google_campaign_6
15,U004798,2025-10-16T01:59:00,87.23,13.05,7.2,1.65,83.03,fulfilled,,google,google_campaign_2
16,U003804,2025-10-16T12:00:24,75.15,5.75,6.2,4.52,80.12,placed,WELCOME,tiktok,tiktok_campaign_5
