return_id,order_id,sku,qty,reason,processed_ts,amount_refunded
R797945278,10,SKU00047,1,size,2025-10-29T20:14:08,40.92
R887514460,38,SKU00172,1,size,2025-10-29T00:45:58,101.36
R583384106,104,SKU00041,1,size,2025-10-18T16:27:38,34.98
R430433939,105,SKU00260,1,defect,2025-10-23T19:24:41,109.11
R650858729,111,SKU00378,1,size,2025-10-25T14:06:23,16.51
R827145673,152,SKU00217,1,defect,2025-10-19T00:45:11,22.47
R869194629,155,SKU00026,1,defect,2025-10-23T02:54:01,34.78
R31998027,195,SKU00365,1,changed_mind,2025-10-30T20:37:42,50.04
R793618451,215,SKU00110,1,defect,2025-10-21T10:50:25,72.16
R630868348,235,SKU00186,1,changed_mind,2025-10-26T15:28:06,96.93
R531821224,240,SKU00209,1,defect,2025-10-21T07:47:28,86.47
R772916143,283,SKU00241,1,changed_mind,2025-10-25T03:17:47,63.13
R964012775,290,SKU00317,1,defect,2025-10-21T14:30:22,12.04
R350513278,311,SKU00044,1,size,2025-10-19T15:34:34,39.09
R794134180,341,SKU00051,1,size,2025-10-17T21:27:25,111.58
R298757368,369,SKU00198,1,defect,2025-10-27T04:50:54,36.62
R956200320,375,SKU00188,1,defect,2025-10-24T10:55:23,104.14
R430716034,385,SKU00367,1,changed_mind,2025-10-17T08:40:42,101.8
R209055507,388,SKU00093,1,size,2025-10-25T17:37:23,71.24
R86118771,410,SKU00199,1,size,2025-10-27T21:49:11,94.78
R768324786,442,SKU00123,1,defect,2025-10-24T18:25:45,48.14
R887816715,459,SKU00268,1,size,2025-10-24T03:41:32,106.01
R778436028,471,SKU00360,1,defect,2025-10-27T16:06:54,101.49
R614296943,478,SKU00077,1,size,2025-10-27T12:15:11,38.08
R529848445,479,SKU00043,1,size,2025-10-28T12:00:19,41.35
R254853728,502,SKU00238,1,defect,2025-10-19T12:46:48,25.47
R440854930,506,SKU00349,1,size,2025-10-24T12:39:51,32.79
R251875368,517,SKU00251,1,size,2025-10-17T14:59:58,99.41
R519923483,525,SKU00157,1,size,2025-10-26T02:13:53,71.3
R886235771,566,SKU00138,1,defect,2025-10-28T14:23:01,107.49
R771052838,591,SKU00318,1,changed_mind,2025-10-17T22:31:43,12.56
R958543861,628,SKU00379,1,size,2025-10-28T23:57:09,100.53
R406305564,648,SKU00192,1,defect,2025-10-29T22:58:13,97.2
R718903972,662,SKU00107,1,defect,2025-10-24T04:21:19,66.88
R669618582,664,SKU00108,1,changed_mind,2025-10-29T02:11:02,119.28
R452592107,672,SKU00079,1,changed_mind,2025-10-19T15:44:51,79.74
R790081903,676,SKU00317,1,size,2025-10-27T03:18:43,85.37
R459445549,681,SKU00379,1,size,2025-10-18T07:23:44,29.08
R548574788,689,SKU00305,1,defect,2025-10-20T12:34:26,75.76
R895538447,693,SKU00307,1,changed_mind,2025-10-29T00:09:29,62.98
R973541851,719,SKU00325,1,changed_mind,2025-10-28T06:52:59,28.61
R824229633,725,SKU00377,1,changed_mind,2025-10-28T08:35:06,116.32
R16817790,759,SKU00333,1,size,2025-10-17T05:18:05,22.44
R807819771,777,SKU00254,1,changed_mind,2025-10-28T03:53:15,86.38
R216718139,810,SKU00151,1,size,2025-10-28T07:57:01,79.91
R423840836,836,SKU00143,1,changed_mind,2025-10-21T19:16:41,104.57
R498567259,843,SKU00240,1,size,2025-10-21T07:40:56,33.19
R48520386,849,SKU00130,1,size,2025-10-26T19:24:26,16.05
R136788411,870,SKU00041,1,changed_mind,2025-10-27T23:45:25,119.98
R654994979,894,SKU00087,1,changed_mind,2025-10-17T07:35:49,73.34
R511001298,925,SKU00044,1,changed_mind,2025-10-27T04:21:42,101.34
R259236882,929,SKU00174,1,changed_mind,2025-10-16T12:03:52,110.55
R500045528,974,SKU00235,1,changed_mind,2025-10-24T17:42:51,114.28
R533950401,976,SKU00002,1,defect,2025-10-29T00:19:46,80.55
R249433410,977,SKU00366,1,changed_mind,2025-10-17T10:55:17,89.88
R2807914,1026,SKU00166,1,changed_mind,2025-10-22T01:39:15,106.18
R635101162,1029,SKU00030,1,size,2025-10-20T03:41:08,38.26
R286154908,1075,SKU00347,1,size,2025-10-29T09:47:06,69.83
R916687028,1132,SKU00307,1,size,2025-10-18T07:22:53,13.56
R769173426,1145,SKU00122,1,defect,2025-10-22T11:53:18,102.84
R660771563,1173,SKU00152,1,size,2025-10-17T23:43:30,89.44
R658592810,1200,SKU00319,1,defect,2025-10-22T22:27:51,99.96
R924149936,1201,SKU00007,1,defect,2025-10-28T12:16:50,93.13
R815366365,1219,SKU00276,1,size,2025-10-15T08:46:23,100.7
R773877954,1226,SKU00123,1,defect,2025-10-20T20:20:28,44.05
R49921776,1245,SKU00349,1,defect,2025-10-18T22:34:17,72.16
R705068229,1286,SKU00218,1,defect,2025-10-19T07:05:53,21.69
R440817267,1353,SKU00309,1,changed_mind,2025-10-19T12:44:27,12.15
R165963461,1355,SKU00198,1,size,2025-10-25T22:28:53,96.41
R920305905,1371,SKU00241,1,size,2025-10-19T11:57:59,47.07
R325256099,1374,SKU00124,1,changed_mind,2025-10-19T09:18:31,10.36
R621571174,1387,SKU00026,1,size,2025-10-15T06:57:38,27.2
R706362148,1402,SKU00109,1,changed_mind,2025-10-19T09:42:35,31.06
R797611026,1421,SKU00079,1,defect,2025-10-23T05:53:40,79.2
R779831585,1447,SKU00199,1,changed_mind,2025-10-28T00:24:52,93.64
R681201775,1458,SKU00179,1,changed_mind,2025-10-23T19:20:22,84.98
R936394581,1463,SKU00071,1,size,2025-10-22T12:49:37,105.61
R404032296,1506,SKU00349,1,defect,2025-10-21T06:13:50,21.34
R770061764,1532,SKU00052,1,defect,2025-10-23T10:45:01,62.7
R5799253,1549,SKU00227,1,defect,2025-10-20T17:16:27,15.34
R36390978,1559,SKU00016,1,changed_mind,2025-10-15T00:56:56,100.29
R321347588,1597,SKU00098,1,changed_mind,2025-10-26T11:04:56,101.42
R529177809,1607,SKU00208,1,changed_mind,2025-10-18T07:15:50,45.39
R464973670,1635,SKU00067,1,changed_mind,2025-10-17T18:53:17,10.9
R180300803,1653,SKU00081,1,defect,2025-10-23T04:02:43,84.88
R311434846,1656,SKU00070,1,changed_mind,2025-10-14T09:13:46,29.6
R604054704,1690,SKU00028,1,changed_mind,2025-10-24T13:29:17,14.29
R241399729,1716,SKU00016,1,size,2025-10-18T20:38:50,88.14
R476875425,1729,SKU00260,1,defect,2025-10-21T03:25:41,83.1
R629990240,1749,SKU00318,1,changed_mind,2025-10-24T11:27:13,116.73
R97651034,1766,SKU00278,1,defect,2025-10-26T14:20:00,48.99
R484767609,1801,SKU00026,1,changed_mind,2025-10-25T14:26:05,50.64
R314952674,1829,SKU00169,1,defect,2025-10-27T08:36:24,111.45
R391796656,1830,SKU00062,1,size,2025-10-14T20:51:01,47.97
R712798362,1856,SKU00067,1,changed_mind,2025-10-26T07:14:35,36.24
